INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
206931578,01/05/2020,02:20:00,MANHATTAN,34,0,,false,,,,18-24,M,BLACK,1006165,253314,40.861944175000076,-73.920773575999988
214729491,06/29/2020,23:38:00,QUEENS,103,0,PVT HOUSE,false,,,,25-44,M,BLACK,1038779,192216,40.69410552100004,-73.803362405999962
211855627,04/08/2020,07:50:00,QUEENS,103,0,PVT HOUSE,false,25-44,M,BLACK,25-44,M,BLACK,1039749,190809,40.690237610000054,-73.799876056999949
211855627,04/08/2020,07:50:00,QUEENS,103,0,PVT HOUSE,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1039749,190809,40.690237610000054,-73.799876056999949
214104573,06/12/2020,00:44:00,BRONX,42,0,,false,,,,25-44,M,BLACK,1011256,241481,40.82945197600003,-73.902416082999935
214104573,06/12/2020,00:44:00,BRONX,42,0,,false,,,,<18,F,WHITE HISPANIC,1011256,241481,40.82945197600003,-73.902416082999935
211578688,03/28/2020,21:43:00,BROOKLYN,79,0,,false,18-24,M,BLACK,45-64,M,BLACK,995841,189513,40.686846802000048,-73.958207294999966
206931575,01/04/2020,03:46:00,QUEENS,103,0,,false,,,,25-44,M,BLACK,1038501,193009,40.69628382500008,-73.804358520999983
208309290,01/21/2020,11:38:00,QUEENS,113,0,,true,,,,25-44,M,BLACK,1050316,190878,40.690354429000081,-73.761771712999973
214729488,06/29/2020,20:56:00,BROOKLYN,83,0,PVT HOUSE,false,,,,45-64,M,BLACK,1009326,191647,40.69267620800008,-73.909575953999934
213283576,05/19/2020,14:40:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,true,25-44,M,BLACK,45-64,M,WHITE HISPANIC,1009450,182401,40.667297692000034,-73.90916337699997
211772774,04/06/2020,02:00:00,BROOKLYN,79,0,PVT HOUSE,true,<18,M,BLACK,45-64,M,BLACK,998043,191486,40.692259076000028,-73.950263415999984
214513027,06/23/2020,07:37:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,999925,214507,40.755443005000075,-73.943423245999952
207815717,01/11/2020,03:02:00,BRONX,40,0,,false,,,,18-24,M,BLACK,1005728,233375,40.807218462000037,-73.922417274999987
209974086,02/22/2020,06:05:00,QUEENS,108,0,BAR/NIGHT CLUB,false,,,,25-44,M,WHITE HISPANIC,999366,212838,40.75086299700007,-73.945444682999948
214693790,06/27/2020,04:13:00,BROOKLYN,67,0,,false,,,,25-44,F,BLACK,1008805,177368,40.653485033000038,-73.911506724999981
214693790,06/27/2020,04:13:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,1008805,177368,40.653485033000038,-73.911506724999981
211578477,03/27/2020,19:35:00,QUEENS,104,0,,false,,,,18-24,M,WHITE HISPANIC,1015154,203604,40.725476889000049,-73.888504994999948
211578477,03/27/2020,19:35:00,QUEENS,104,0,,false,,,,<18,M,BLACK HISPANIC,1015154,203604,40.725476889000049,-73.888504994999948
213748379,06/01/2020,19:14:00,BROOKLYN,83,0,,false,18-24,M,BLACK,18-24,M,BLACK,1006880,190544,40.689655320000043,-73.918400069999961
214431179,06/20/2020,01:59:00,BRONX,44,0,,false,25-44,M,BLACK,18-24,F,WHITE HISPANIC,1010025,246298,40.842676920000031,-73.906845751999981
214431179,06/20/2020,01:59:00,BRONX,44,0,,false,25-44,M,BLACK,25-44,F,WHITE HISPANIC,1010025,246298,40.842676920000031,-73.906845751999981
214431179,06/20/2020,01:59:00,BRONX,44,0,,false,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1010025,246298,40.842676920000031,-73.906845751999981
210161995,02/27/2020,02:17:00,BROOKLYN,79,0,,false,,,,25-44,M,BLACK,996546,187436,40.681144959000051,-73.95566903799994
212473915,04/27/2020,02:00:00,BROOKLYN,81,0,GROCERY/BODEGA,false,,,,18-24,M,ASIAN / PACIFIC ISLANDER,1005577,188806,40.684888145000059,-73.92310404899996
214431170,06/19/2020,21:45:00,BRONX,43,0,,false,,,,25-44,M,BLACK,1019548,238106,40.820159322000052,-73.872470981999982
211272847,03/19/2020,20:08:00,BROOKLYN,81,0,,false,,,,18-24,M,BLACK,1003577,186109,40.677490086000034,-73.930323051999949
214430792,06/19/2020,19:02:00,QUEENS,106,0,PVT HOUSE,false,,,,25-44,M,BLACK,1035610,190094,40.688300090000041,-73.814806395999938
207815718,01/11/2020,22:37:00,BRONX,44,0,,true,18-24,M,BLACK,25-44,M,BLACK,1010044,244313,40.83722861900003,-73.906784716999937
207815718,01/11/2020,22:37:00,BRONX,44,0,,true,25-44,M,BLACK,25-44,M,BLACK,1010044,244313,40.83722861900003,-73.906784716999937
214693510,06/28/2020,23:58:00,BRONX,46,0,,true,18-24,M,BLACK,<18,M,BLACK,1007997,247789,40.84677496300003,-73.914170039999988
213724266,05/31/2020,05:06:00,BRONX,46,0,,false,,,,18-24,M,BLACK HISPANIC,1007018,250368,40.853856131000043,-73.917699788999983
210953391,03/12/2020,20:46:00,STATEN ISLAND,120,0,,true,,,,18-24,M,BLACK,961833,166710,40.624236772000074,-74.080755532999945
211963623,04/10/2020,19:44:00,MANHATTAN,23,0,,true,25-44,M,BLACK,18-24,M,BLACK,1000267,225915,40.786754376000033,-73.942161625999972
207817513,01/11/2020,21:30:00,QUEENS,103,0,COMMERCIAL BLDG,false,,,,25-44,M,BLACK,1050213,199294,40.713455065000062,-73.762060690999988
214693796,06/28/2020,03:10:00,BROOKLYN,73,0,PVT HOUSE,false,,,,18-24,M,BLACK,1007783,185486,40.675769912000078,-73.915161613999942
214693796,06/28/2020,03:10:00,BROOKLYN,73,0,PVT HOUSE,false,,,,25-44,M,BLACK,1007783,185486,40.675769912000078,-73.915161613999942
213188086,05/17/2020,23:42:00,QUEENS,101,0,,false,25-44,M,BLACK,18-24,M,BLACK,1051960,160392,40.606664855000076,-73.756149602999983
214116581,06/11/2020,22:30:00,BROOKLYN,67,0,,false,,,,18-24,M,BLACK,997786,177027,40.652572760000055,-73.951219198999979
210338029,02/29/2020,02:13:00,QUEENS,111,0,,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1054696,207518,40.735993300000075,-73.745803683999952
211066103,03/15/2020,20:39:00,BRONX,46,0,,false,18-24,M,BLACK,18-24,F,BLACK HISPANIC,1011816,251433,40.856765561000032,-73.900351633999946
213723895,05/30/2020,02:30:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,45-64,M,BLACK,25-44,M,BLACK,989961,192624,40.695391527000027,-73.97940641699995
213723895,05/30/2020,02:30:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,true,45-64,M,BLACK,25-44,M,BLACK,989961,192624,40.695391527000027,-73.97940641699995
208187329,01/18/2020,01:06:00,BRONX,49,0,,false,,,,25-44,M,BLACK HISPANIC,1023622,253318,40.861894559000064,-73.857662479999988
214608095,06/25/2020,23:20:00,BRONX,46,0,,false,,,,18-24,M,BLACK HISPANIC,1013724,253001,40.861063085000069,-73.893447413999979
214608095,06/25/2020,23:20:00,BRONX,46,0,,false,,,,25-44,M,BLACK HISPANIC,1013724,253001,40.861063085000069,-73.893447413999979
